AABL_correct,pseudocode_correct
69,51
70,52
70,52
71,53
72,53
72,53
73,54
74,54
75,54
76,54
77,54
78,54
78,54
79,54
80,54
81,54
82,54
83,54
84,55
85,55
86,55
86,56
87,56
87,56
87,56
87,57
87,57
87,57
88,57
89,57
90,57
91,57
91,58
92,59
93,59
94,59
95,59
96,60
96,61
97,61
98,61
98,62
99,62
100,62
100,62
101,62
102,62
103,62
104,62
104,62
105,63
105,63
105,63
106,63
107,63
108,64
108,64
109,64
110,65
110,65
111,65
111,65
112,65
113,65
113,66
0,0
0,0
0,0
0,0
1,1
2,2
2,2
3,2
4,2
4,2
4,2
4,2
5,2
5,2
6,2
6,2
7,2
7,2
7,2
7,2
7,3
7,3
8,3
8,3
8,4
8,4
8,5
9,6
9,6
9,6
9,6
10,7
10,7
10,7
10,7
10,7
10,8
10,8
10,9
10,9
10,9
10,9
11,9
12,10
13,10
13,10
13,10
13,10
13,10
13,10
13,10
14,10
14,10
15,11
16,11
16,11
16,11
16,11
17,11
18,12
19,13
20,13
21,14
22,14
23,14
24,15
24,15
24,15
24,15
24,16
25,16
26,16
26,16
27,16
28,16
28,16
29,16
29,17
29,17
30,17
31,18
31,18
32,19
33,19
33,20
34,21
34,21
35,21
36,21
36,21
36,21
37,21
38,22
39,23
39,24
40,24
41,24
42,24
43,24
44,24
44,24
45,25
46,25
47,26
47,27
48,28
48,29
49,29
50,30
51,30
52,30
52,30
53,30
54,30
55,30
56,30
56,30
57,30
58,30
58,31
59,31
60,31
60,31
60,31
61,31
61,32
62,32
62,32
62,32
63,33
64,33
65,34
66,35
67,35
68,35
69,35
70,35
71,36
72,37
73,38
74,39
75,40
76,40
76,40
77,40
77,41
78,41
78,41
79,42
80,43
81,43
81,44
82,44
83,44
84,44
85,44
86,44
87,44
87,44
88,44
89,44
90,44
91,45
91,46
92,46
93,46
94,47
95,47
96,47
97,47
98,47
99,48
100,48
101,48
102,48
103,48
104,48
104,49
104,49
105,49
106,50
107,51
108,52
109,53
109,53
110,53
111,54
112,55
113,56
113,56
114,57
115,57
115,57
116,58
117,59
118,59
118,59
119,59
120,60
121,60
0,0
0,0
1,1
1,1
1,1
1,1
1,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,3
4,4
4,4
5,4
5,4
6,4
7,4
8,5
9,6
10,6
10,6
10,6
10,6
11,7
11,8
11,8
11,8
11,8
12,8
13,9
13,9
13,9
14,9
15,9
16,10
17,11
18,11
18,11
19,11
19,12
20,13
21,13
22,14
22,14
23,15
23,16
23,16
24,17
24,17
24,17
24,18
24,18
25,19
25,19
26,20
27,21
28,21
29,22
30,22
30,22
31,22
32,22
32,22
33,22
33,22
33,22
34,23
35,23
36,23
37,24
38,24
39,24
39,24
40,24
40,25
40,25
40,25
40,26
40,26
41,26
41,26
42,27
43,27
43,27
44,27
44,27
45,27
46,28
47,29
48,29
48,30
49,30
50,31
50,31
50,32
51,33
51,33
51,33
51,33
51,34
52,35
52,35
53,36
54,36
55,36
55,36
56,36
57,36
57,37
58,37
59,37
60,38
61,38
61,38
62,38
63,39
64,39
65,39
66,39
67,39
67,39
67,40
68,40
68,40
68,40
68,41
68,42
69,42
70,43
70,44
71,44
72,44
73,44
74,45
75,46
75,46
76,46
76,47
77,47
78,47
79,48
80,48
81,49
82,49
83,49
84,49
85,49
85,50
86,50
87,50
88,50
89,50
90,51
90,52
91,52
92,52
93,52
94,53
95,54
96,55
96,55
97,56
97,56
98,56
99,56
100,57
100,58
101,59
102,59
102,59
103,59
104,60
104,60
105,60
106,60
107,60
107,60
108,61
108,61
109,61
109,61
109,61
109,61
110,61
110,62
110,62
111,62
112,63
112,63
